"County","Median Age","% Age 17 and Under","% Age 65 and Older","% Age 85 and Older"
"Anderson","39.1","19.58","14.54","1.48"
"Andrews","31.8","30.9","10.53","1.37"
"Angelina","37.1","25.81","15.79","1.94"
"Aransas","49.3","18.73","27.3","2.62"
"Archer","44.3","21.77","19.89","2.17"
"Armstrong","45.2","22.41","22.88","2.13"
"Atascosa","35.6","27.34","14.45","1.63"
"Austin","41.1","24.14","18.65","2.16"
"Bailey","33","31.58","14.13","1.88"
"Bandera","52.5","16.86","26.46","2.51"
"Bastrop","38.2","25.64","14.75","1.34"
"Baylor","45.7","22.2","24.6","3.97"
"Bee","34.9","21.45","12.12","1.42"
"Bell","31.1","27.87","10.6","1.22"
"Bexar","33.6","25.81","11.84","1.43"
"Blanco","49.4","18.79","23.97","2.23"
"Borden","46.8","21.69","23.48","3.57"
"Bosque","46.6","21.44","24.36","3.04"
"Bowie","38","23.65","16.33","2.16"
"Brazoria","35.7","26.72","11.47","1.15"
"Brazos","26.5","20.73","8.85","1.07"
"Brewster","42.5","19.42","21.77","2.29"
"Briscoe","46.1","19.63","25.39","2.75"
"Brooks","34.9","28.6","17.57","2.23"
"Brown","40.8","22.35","19.71","2.52"
"Burleson","44.1","22.35","20.2","2.96"
"Burnet","44.3","21.64","21.83","2.42"
"Caldwell","36.1","23.67","14.05","1.62"
"Calhoun","38.3","24.74","17.17","2.06"
"Callahan","42.9","22.82","19.99","2.52"
"Cameron","31.8","30.83","13.17","1.67"
"Camp","38.1","26.64","18.2","1.87"
"Carson","40.7","24.32","18.77","2.02"
"Cass","44.2","22.52","21.83","2.62"
"Castro","34.4","29.12","15.22","2.01"
"Chambers","35.1","27.96","11.39","1.02"
"Cherokee","37.9","25.67","17.3","2.03"
"Childress","33.6","20.53","15.4","2.08"
"Clay","46.2","20.69","21.2","2.37"
"Cochran","36","27.43","16.24","1.51"
"Coke","48.3","21.32","26.53","2.84"
"Coleman","47.5","21.19","24.56","2.65"
"Collin","37","26.28","10.74","1.01"
"Collingsworth","37.4","26.72","18.28","2.28"
"Colorado","43.1","23.13","21.49","3.16"
"Comal","42.1","22.84","18.11","1.83"
"Comanche","45.3","22.59","24.04","2.79"
"Concho","47.5","20.21","25.36","2.76"
"Cooke","40","24.01","18.26","2.06"
"Coryell","32.1","23.12","10.02","0.95"
"Cottle","46.1","22.57","24.73","2.6"
"Crane","33.5","29.96","11.9","1.58"
"Crockett","40","25.42","17.06","1.63"
"Crosby","37.5","26.94","18.1","2.22"
"Culberson","40","23.98","20.35","2.87"
"Dallam","32","31.92","11.22","1.22"
"Dallas","33.5","26.44","10.49","1.22"
"Dawson","33.6","26.16","14.86","2.03"
"Deaf Smith","31.4","31.64","12.38","1.81"
"Delta","42.8","23.67","20.46","1.79"
"Denton","35.5","25.12","9.84","0.86"
"DeWitt","41.8","22.56","19.51","2.92"
"Dickens","42.6","18.92","22.45","2.58"
"Dimmit","34.2","29.75","16.1","2.33"
"Donley","42.1","20.27","24.1","2.63"
"Duval","36.3","25.35","17.79","2.32"
"Eastland","42.5","21.46","21.83","2.84"
"Ector","30.6","30.02","9.85","1.13"
"Edwards","47.7","22.48","27.24","2.56"
"El Paso","32.3","27.5","11.95","1.6"
"Ellis","36.1","26.86","12.62","1.28"
"Erath","30.7","20.47","13.98","1.82"
"Falls","39.3","21.51","17.74","2.13"
"Fannin","41.7","21.22","18.68","2.08"
"Fayette","47.3","20.39","24.75","3.56"
"Fisher","46","20.72","24.12","3.32"
"Floyd","37.1","26.88","18.48","2.54"
"Foard","48.9","20.7","26.76","3.93"
"Fort Bend","36.2","27.7","10.63","0.95"
"Franklin","42.7","24.05","21.32","2.41"
"Freestone","41.8","22.99","19.62","2.47"
"Frio","31.5","23.64","12.13","1.41"
"Gaines","28.4","35.99","8.61","0.98"
"Galveston","37.7","24.5","13.83","1.49"
"Garza","33.7","17.13","11.15","1.39"
"Gillespie","50.4","20.21","29.24","4.17"
"Glasscock","38","25.15","15.5","0.89"
"Goliad","45.3","21.33","22.03","2.84"
"Gonzales","36.9","27.16","16.3","1.92"
"Gray","37.6","25.53","15.87","2.22"
"Grayson","39.5","23.8","17.49","2.05"
"Gregg","35.7","25.86","15.19","2.11"
"Grimes","40.5","22.63","16.83","1.72"
"Guadalupe","36.8","25.6","13.35","1.42"
"Hale","32.9","27.52","13.13","1.72"
"Hall","43.7","22.99","23.67","3.58"
"Hamilton","45.6","21.62","25.1","3.93"
"Hansford","35.1","28.88","14.87","2.04"
"Hardeman","43.1","22.23","21.51","3.1"
"Hardin","38.7","24.76","16.18","1.79"
"Harris","33.6","26.85","10.19","1.08"
"Harrison","38.1","25.51","16.48","1.86"
"Hartley","40","21","14.69","2.11"
"Haskell","41.9","18.5","22.19","3.18"
"Hays","31.9","23.2","10.63","0.97"
"Hemphill","35.6","31.59","14.29","2.16"
"Henderson","44.4","21.35","21.86","2.27"
"Hidalgo","29.2","33.02","10.85","1.37"
"Hill","41.6","23.45","20.6","2.5"
"Hockley","34.2","25.96","14.3","1.63"
"Hood","46.4","21.29","24.47","2.8"
"Hopkins","39.5","24.9","18.02","2.07"
"Houston","44.4","19.76","21.63","2.73"
"Howard","37","21.69","12.88","1.68"
"Hudspeth","34.5","22.71","15.72","1.77"
"Hunt","38.2","23.91","15.81","1.69"
"Hutchinson","37.8","25.59","16.21","2.18"
"Irion","45.3","22.1","21.57","2.77"
"Jack","38.9","21.82","16.78","1.71"
"Jackson","38.2","25.45","17.72","2.4"
"Jasper","41.3","24.03","19.3","1.95"
"Jeff Davis","57.6","8.51","33.07","3.6"
"Jefferson","36.2","23.99","14.08","1.96"
"Jim Hogg","34.7","30.1","17.38","1.48"
"Jim Wells","34.6","28.23","15.04","1.8"
"Johnson","36.8","26.03","13.93","1.27"
"Jones","38.5","17.54","15.23","1.88"
"Karnes","35.7","20.75","14.2","2"
"Kaufman","35.6","27.63","11.93","1.17"
"Kendall","42.5","23.42","18.75","2.28"
"Kenedy","37.1","27.34","18.23","4.08"
"Kent","49.7","20.97","26.21","4.06"
"Kerr","48.2","19.33","27.42","3.73"
"Kimble","51.1","18.21","29.09","3.29"
"King","37.8","27.7","17.23","0.68"
"Kinney","42.9","19.47","24.03","3.12"
"Kleberg","28.1","24.46","12.92","1.65"
"Knox","39.2","26.74","19.97","2.61"
"La Salle","31.3","20.21","13.57","1.25"
"Lamar","40.2","23.87","19.02","2.25"
"Lamb","36.3","27.99","16.43","2.25"
"Lampasas","42.7","22.85","19.04","2.16"
"Lavaca","43.7","23.72","23.1","3.69"
"Lee","41.6","22.11","18","2.03"
"Leon","45.1","22.73","23.93","2.45"
"Liberty","35.7","25.96","12.81","1.16"
"Limestone","39.8","22.82","18.85","2.33"
"Lipscomb","37.3","26.47","17.44","2.66"
"Live Oak","41.5","20.16","20.3","2.47"
"Llano","57","15.47","35.61","4.37"
"Loving","29.5","34.33","8.96","0"
"Lubbock","30.9","24.05","12.18","1.55"
"Lynn","37.9","26.54","17.27","1.95"
"Madison","34.7","21.07","15.58","1.87"
"Marion","50.1","18.64","25.28","2.46"
"Martin","32.9","31.14","11.57","1.24"
"Mason","49.6","20.77","28.71","3.29"
"Matagorda","37.7","25.62","16.51","1.9"
"Maverick","29.6","31.66","11.53","1.29"
"McCulloch","43.7","22.35","22.09","2.85"
"McLennan","33.2","24.76","14.17","1.97"
"McMullen","45.7","19.79","23.14","3.47"
"Medina","39.2","23.38","16.34","1.82"
"Menard","53.4","17.18","30.23","4.99"
"Midland","32","28.35","10.39","1.56"
"Milam","41.1","24.89","19.9","2.62"
"Mills","48.7","21.05","27.23","3.78"
"Mitchell","35.1","21.11","14.83","1.81"
"Montague","43.7","22.73","22.12","2.51"
"Montgomery","36.9","26.46","12.86","1.23"
"Moore","31","31.98","10.51","1.32"
"Morris","42.6","23.08","21.45","2.56"
"Motley","49.8","18.46","29.92","3.25"
"Nacogdoches","30.9","23.4","14.23","1.76"
"Navarro","38.1","26.23","16.85","2.05"
"Newton","43.5","20.28","20.15","1.94"
"Nolan","37.8","26.11","17.94","2.37"
"Nueces","35.5","24.81","14.07","1.78"
"Ochiltree","31.9","32.04","10.94","1.08"
"Oldham","39","25.4","14.81","1.28"
"Orange","37.9","24.98","15.59","1.84"
"Palo Pinto","41.2","23.66","19.2","2.05"
"Panola","40.5","23.56","18.44","1.77"
"Parker","39.4","24.7","15.25","1.45"
"Parmer","34.5","29.04","13.72","1.77"
"Pecos","36","24.22","13.29","1.5"
"Polk","43.3","20.54","18.66","1.3"
"Potter","33.7","27.55","12.15","1.62"
"Presidio","38.8","26.72","22.61","3.97"
"Rains","47.8","19.45","24.37","1.94"
"Randall","35.8","24.04","14.59","1.59"
"Reagan","33.5","29.46","11.24","1.11"
"Real","52.6","16.94","28.84","2.27"
"Red River","47","19.82","24.27","3.17"
"Reeves","33.7","22.39","12.04","1.58"
"Refugio","42.2","23.48","21.57","2.48"
"Roberts","39.4","25.8","19.19","1.6"
"Robertson","40.2","24.23","18.89","2.39"
"Rockwall","37.5","27.21","12.34","1.38"
"Runnels","41.7","23.28","20.67","2.85"
"Rusk","39.1","23.06","16.52","2.04"
"Sabine","52.7","18.89","30.72","3.41"
"San Augustine","49","19.76","25.41","3.44"
"San Jacinto","45.1","21.7","21.43","1.96"
"San Patricio","35.5","27.09","14.47","1.46"
"San Saba","41.5","20.52","22.71","2.95"
"Schleicher","37.3","26.62","18.23","1.43"
"Scurry","36.1","25.47","14.84","2.17"
"Shackelford","43.2","23.83","19.98","2.28"
"Shelby","38","26.5","17.2","1.81"
"Sherman","36.7","28.2","15.16","2.09"
"Smith","36.5","24.65","16.21","2.05"
"Somervell","42","22.63","18.65","2.32"
"Starr","28.7","33.14","11.3","1.4"
"Stephens","40","21.71","19.29","2.5"
"Sterling","37.8","27.57","15.83","2.86"
"Stonewall","47","22.12","26.08","4.97"
"Sutton","40.8","24.4","17.71","2.28"
"Swisher","36","25.54","17.86","2.73"
"Tarrant","34.5","26.58","11.03","1.24"
"Taylor","32.3","24.73","14.27","2"
"Terrell","46.7","21.85","28.15","4.07"
"Terry","34.1","27.34","14.7","1.82"
"Throckmorton","48.7","20.89","27.31","3.93"
"Titus","34.2","28.94","14.07","1.75"
"Tom Green","34.1","23.75","15.23","2.05"
"Travis","34.3","22.11","9.56","1.05"
"Trinity","48.5","20.17","26.09","2.56"
"Tyler","42.4","19.3","22.05","2.58"
"Upshur","40.8","23.94","18.06","1.94"
"Upton","34.2","29.27","13.79","1.86"
"Uvalde","33.9","27.36","16.42","2.38"
"Val Verde","31.9","28.65","14.22","1.96"
"Van Zandt","42.8","23.15","20.14","2.19"
"Victoria","35.8","25.67","15.67","2.05"
"Walker","35.5","15.3","12.74","1.37"
"Waller","29.2","24.34","11.81","1.26"
"Ward","34.6","28.84","14.17","1.99"
"Washington","41.9","21.44","21.17","3.48"
"Webb","28.6","33.38","9.23","1.16"
"Wharton","37.1","26.09","16.7","2.23"
"Wheeler","40.2","25.79","18.98","2.16"
"Wichita","34.2","22.43","14.5","2.04"
"Wilbarger","39.4","22.58","18.07","2.52"
"Willacy","32.8","23.75","13.7","1.8"
"Williamson","36.3","26.04","11.89","1.19"
"Wilson","40","24.35","15.63","1.86"
"Winkler","33.7","29.44","12.33","1.36"
"Wise","38.7","24.93","14.85","1.29"
"Wood","48.7","19.34","27.1","2.82"
"Yoakum","30.8","33.03","11.67","1.31"
"Young","41.4","24.14","20.01","2.69"
"Zapata","29.7","33.29","12.57","1.39"
"Zavala","31.1","29.32","14.05","1.96"
